client_name,truck_size,truck_origin_warehouse,delivery_timestamp,total_weight,brand_1_coffee_proportion,driver_id,is_fresh_client,postcode,business_category,floor,partnership_level,box_count,brand_2_coffee_proportion,brand_3_coffee_proportion,final_time
Moll Inc,Van,Baró de Viver,2022-04-27 14:14:39,20.8,0.52,D84,False,08008,Cafe/Restaurant,Street level,Regular,2,0.07616729307467679,0.4038327069253232,200.7319147370069
Moll Inc,Combi,Zona Franca,2022-02-17 17:06:37,50.59,0.43,D84,False,08008,Cafe/Restaurant,Street level,Regular,6,0.39831598209919933,0.17168401790080073,346.19494847097803
Nicolau and Sons,Van,Zona Franca,2022-05-02 17:09:47,59.91,0.42,D84,False,08010,Cafe/Restaurant,Street level,Regular,5,0.3856894330493819,0.19431056695061816,311.739288829075
Nicolau and Sons,Van,Baró de Viver,2022-03-03 17:56:12,99.15,0.89,D84,False,08010,Cafe/Restaurant,Street level,Regular,7,0.08197256759370987,0.028027432406290118,420.84985527717214
Lastra Ltd,Van,Baró de Viver,2022-04-05 11:55:50,111.88,0.75,D84,False,08030,Cafe/Restaurant,Street level,Regular,10,0.014866937220552212,0.2351330627794478,393.61053219719474
Lillo PLC,Van,Zona Franca,2022-01-12 15:41:46,112.75,0.76,D84,False,08075,Cafe/Restaurant,Street level,Regular,17,0.024865248096525787,0.2151347519034742,630.4991502464189
Barroso LLC,Van,Zona Franca,2022-02-12 11:01:24,99.28,0.87,D84,False,08040,Cafe/Restaurant,Street level,Regular,8,0.05360736443561783,0.07639263556438217,403.14170916168473
Barroso LLC,Combi,Zona Franca,2022-04-08 19:45:57,33.42,0.69,D84,False,08040,Cafe/Restaurant,Street level,Regular,3,0.1911332184520421,0.11886678154795796,236.2048836498119
Casals Group,Combi,Baró de Viver,2022-04-03 08:33:54,110.83,0.7,D84,False,08022,Cafe/Restaurant,Street level,Regular,9,0.09584416415386611,0.20415583584613395,507.5029581689364
Briones and Sons,Combi,Baró de Viver,2022-02-27 11:18:54,15.89,0.9,D84,False,08004,Cafe/Restaurant,Other,Regular,2,0.08254377469377892,0.017456225306221054,198.9158457439275
Briones and Sons,Van,Zona Franca,2022-01-02 11:15:03,69.53,0.91,D84,False,08004,Cafe/Restaurant,Other,Regular,6,0.01809344240247983,0.07190655759752014,471.64275435119424
Briones and Sons,Van,Baró de Viver,2022-05-03 20:23:26,74.05,0.73,D84,False,08004,Cafe/Restaurant,Other,Regular,7,0.14554031432223646,0.12445968567776355,534.299592431774
Ugarte Inc,Van,Zona Franca,2022-03-20 09:39:29,23.94,0.94,D84,False,08017,Cafe/Restaurant,Street level,Regular,3,0.01363213528951997,0.046367864710480086,274.04899424376373
Ugarte Inc,Combi,Baró de Viver,2022-03-08 11:41:01,11.55,0.67,D84,False,08017,Cafe/Restaurant,Street level,Regular,2,0.025943298887865254,0.30405670111213473,176.24716275769913
Ugarte Inc,Combi,Zona Franca,2022-04-04 12:39:34,109.61,0.96,D84,False,08017,Cafe/Restaurant,Street level,Regular,16,0.01693567479895028,0.023064325201049757,600.1811912046355
Ugarte Inc,Truck,Zona Franca,2022-03-11 17:59:02,5.99,0.47,D84,False,08017,Cafe/Restaurant,Street level,Regular,1,0.465249253794655,0.06475074620534504,175.014355618458
"Villanueva, Rebollo and Mayoral",Van,Baró de Viver,2022-01-19 10:43:05,94.59,0.74,D84,False,08036,Cafe/Restaurant,Street level,Regular,11,0.2325288972635739,0.027471102736426112,659.99139764543
"Villanueva, Rebollo and Mayoral",Van,Baró de Viver,2022-03-25 15:46:36,80.31,0.92,D84,False,08036,Cafe/Restaurant,Street level,Regular,6,0.07297809802306195,0.007021901976938014,286.51673966509657
"Ayala, Domingo and Martinez",Combi,Baró de Viver,2022-03-26 14:31:47,23.18,0.73,D84,False,08002,Coffee Retailers,Other,Regular,2,0.004442227419487576,0.26555777258051244,231.57821952757433
"Ayala, Domingo and Martinez",Combi,Zona Franca,2022-03-03 09:49:51,19.83,0.75,D84,False,08002,Coffee Retailers,Other,Regular,4,0.08100962740436238,0.16899037259563762,431.48659937499974
"Roldan, Barral and Martín",Van,Baró de Viver,2022-04-09 19:17:18,63.96,0.77,D84,False,08011,Cafe/Restaurant,Other,Regular,10,0.21213979485908455,0.017860205140915436,592.9726719929456
"Roldan, Barral and Martín",Van,Baró de Viver,2022-05-10 09:50:13,97.56,0.74,D84,False,08011,Cafe/Restaurant,Other,Regular,9,0.1323594779125326,0.1276405220874674,528.6383143020819
"Roldan, Barral and Martín",Combi,Zona Franca,2022-02-08 20:03:16,103.42,0.5,D84,False,08011,Cafe/Restaurant,Other,Regular,13,0.31880161100679,0.18119838899321,579.1736249229405
"Roldan, Barral and Martín",Combi,Zona Franca,2022-03-13 08:21:53,28.53,0.63,D84,True,08011,Cafe/Restaurant,Other,Regular,4,0.026979547668160908,0.3430204523318391,455.85481488523027
"Roldan, Barral and Martín",Truck,Baró de Viver,2022-05-20 17:38:34,32.32,0.98,D84,False,08011,Cafe/Restaurant,Other,Regular,3,0.018018480140871224,0.0019815198591287934,361.88739948503934
Azorin Group,Truck,Zona Franca,2022-01-22 15:09:45,103.11,0.72,D84,False,08029,Coffee Retailers,Street level,Regular,20,0.26675956002888673,0.013240439971113294,729.6728339319246
Azorin Group,Van,Baró de Viver,2022-02-06 17:01:02,97.43,0.83,D84,True,08029,Coffee Retailers,Street level,Regular,12,0.05270515130056727,0.11729484869943277,750.5770414929236
"Barrera, Zapata and Castelló",Truck,Baró de Viver,2022-04-27 16:26:13,35.06,0.58,D84,False,08002,Cafe/Restaurant,Street level,Regular,4,0.004519124359465734,0.4154808756405343,225.65911267531658
"Barrera, Zapata and Castelló",Van,Zona Franca,2022-04-26 16:59:54,42.05,0.76,D84,False,08002,Cafe/Restaurant,Street level,Regular,6,0.17209952034814097,0.06790047965185902,282.8095910111094
"Prada, Domínguez and Domingo",Van,Baró de Viver,2022-03-05 09:30:31,58.11,0.57,D84,False,08017,Cafe/Restaurant,Street level,Key Account,10,0.3789259721173266,0.051074027882673456,615.149181697098
"Prada, Domínguez and Domingo",Van,Baró de Viver,2022-02-17 19:42:56,97.78,0.96,D84,False,08017,Cafe/Restaurant,Street level,Key Account,11,0.004055084060076552,0.03594491593992348,679.2723592586555
Jordá-Murillo,Van,Baró de Viver,2022-02-18 14:21:56,81.17,0.52,D84,False,08008,Cafe/Restaurant,Street level,Regular,6,0.04477367573623095,0.43522632426376906,223.49975104501178
Jordá-Murillo,Combi,Baró de Viver,2022-03-21 10:01:34,45.15,0.58,D84,False,08008,Cafe/Restaurant,Street level,Regular,6,0.009695472524286557,0.4103045274757135,423.49985578539577
Nieto-Carbonell,Combi,Zona Franca,2022-04-09 10:30:19,61.25,0.88,D84,False,08039,Cafe/Restaurant,Ground Floor,Regular,9,0.1053956805279983,0.014604319472001692,566.6602673560017
Nieto-Carbonell,Combi,Zona Franca,2022-03-24 13:30:34,52.83,0.6,D84,False,08039,Cafe/Restaurant,Ground Floor,Regular,7,0.30626687756637233,0.09373312243362769,349.68508377989383
Nieto-Carbonell,Combi,Baró de Viver,2022-04-20 11:02:12,26.23,0.54,D84,False,08039,Cafe/Restaurant,Ground Floor,Regular,3,0.2900364601483912,0.16996353985160878,227.502490079076
"Salinas, Larrea and Granados",Van,Zona Franca,2022-01-06 11:27:46,119.47,0.67,D84,False,08031,Cafe/Restaurant,Street level,Regular,14,0.10870995012196603,0.2212900498780339,592.1656613344954
"Salinas, Larrea and Granados",Van,Zona Franca,2022-05-04 14:26:55,109.47,0.78,D84,False,08031,Cafe/Restaurant,Street level,Regular,10,0.09477818298807222,0.12522181701192775,335.91441002546816
"Salinas, Larrea and Granados",Combi,Zona Franca,2022-03-27 08:20:30,6.54,0.82,D84,False,08031,Cafe/Restaurant,Street level,Regular,1,0.16903862268477968,0.010961377315220372,205.66510329871005
"Salinas, Larrea and Granados",Van,Zona Franca,2022-04-22 17:36:19,108.42,0.92,D84,False,08031,Cafe/Restaurant,Street level,Regular,10,0.0686924407071529,0.01130755929284706,420.1189064349444
"Salinas, Larrea and Granados",Combi,Baró de Viver,2022-01-03 19:43:44,77.07,0.74,D84,False,08031,Cafe/Restaurant,Street level,Regular,7,0.028183455533851105,0.2318165444661489,406.9664089068875
"Calatayud, Moll and Anglada",Van,Baró de Viver,2022-02-19 14:02:49,33.33,0.46,D84,False,08016,Cafe/Restaurant,Street level,Regular,4,0.1912775007633293,0.34872249923667076,227.48106599656307
"Calatayud, Moll and Anglada",Combi,Baró de Viver,2022-01-05 10:41:08,5.05,0.84,D84,False,08016,Cafe/Restaurant,Street level,Regular,1,0.05609254649961155,0.10390745350038849,186.41769507503363
"Calatayud, Moll and Anglada",Van,Zona Franca,2022-01-16 15:47:02,56.24,0.67,D84,False,08016,Cafe/Restaurant,Street level,Regular,7,0.05327676882525966,0.2767232311747403,367.6294900703514
"Herrera, Juliá and Gabaldón",Combi,Baró de Viver,2022-05-15 14:52:41,38.07,0.87,D84,False,08036,Cafe/Restaurant,Street level,Regular,4,0.015903881178512887,0.11409611882148712,199.52282306047107
"Herrera, Juliá and Gabaldón",Truck,Zona Franca,2022-04-21 19:18:17,40.37,0.51,D84,False,08036,Cafe/Restaurant,Street level,Regular,4,0.3417582678250597,0.1482417321749403,231.52655460265993
"Herrera, Juliá and Gabaldón",Combi,Baró de Viver,2022-03-03 12:39:48,53.9,0.6,D84,False,08036,Cafe/Restaurant,Street level,Regular,6,0.2493723834874659,0.15062761651253412,278.5060308204406
"Borrell, Guillen and Torre",Van,Zona Franca,2022-04-27 16:42:46,68.81,0.94,D84,False,08034,Cafe/Restaurant,Street level,Regular,9,0.04531872961895764,0.014681270381042416,350.39783267274044
"Borrell, Guillen and Torre",Van,Zona Franca,2022-01-20 16:04:38,56.29,0.97,D84,False,08034,Cafe/Restaurant,Street level,Regular,4,0.021536879994164485,0.008463120005835541,246.25494531440086
"Borrell, Guillen and Torre",Van,Zona Franca,2022-03-26 09:52:54,98.17,0.92,D84,True,08034,Cafe/Restaurant,Street level,Regular,10,0.07945373657926244,0.0005462634207375194,788.4716963641738
Pino-Gallego,Truck,Baró de Viver,2022-02-19 09:32:06,42.04,0.72,D84,False,08030,Cafe/Restaurant,Street level,Diamond,4,0.033777646372020645,0.2462223536279794,325.86373992126374
Pino-Gallego,Van,Zona Franca,2022-03-23 17:29:50,36.32,0.91,D84,False,08030,Cafe/Restaurant,Street level,Diamond,6,0.006088352899716472,0.0839116471002835,357.1129840670504
Pino-Gallego,Truck,Baró de Viver,2022-02-04 20:57:49,34.57,0.78,D84,False,08030,Cafe/Restaurant,Street level,Diamond,7,0.16218250498602604,0.05781749501397393,282.80073089058703
Pino-Gallego,Truck,Zona Franca,2022-04-20 11:57:04,75.25,0.45,D84,False,08030,Cafe/Restaurant,Street level,Diamond,7,0.24751474543186278,0.30248525456813724,318.9806124866296
Pino-Gallego,Combi,Zona Franca,2022-04-19 09:26:43,84.44,0.57,D84,False,08030,Cafe/Restaurant,Street level,Diamond,14,0.10408033162214496,0.3259196683778551,655.6793891232206
Alcaraz-Aranda,Van,Baró de Viver,2022-03-18 20:48:31,13.12,0.87,D84,False,08026,Coffee Retailers,Street level,Regular,2,0.035238158276431994,0.09476184172356801,149.50533756013036
Alcaraz-Aranda,Truck,Baró de Viver,2022-01-23 10:10:56,95.76,0.86,D84,False,08026,Coffee Retailers,Street level,Regular,7,0.1093043190456197,0.030695680954380314,451.1200606240467
Alcaraz-Aranda,Van,Baró de Viver,2022-02-07 20:04:47,23.15,0.52,D84,False,08026,Coffee Retailers,Street level,Regular,3,0.3343735445739747,0.14562645542602526,165.67375638839314
Alcaraz-Aranda,Van,Baró de Viver,2022-03-24 19:17:05,45.78,0.59,D84,False,08026,Coffee Retailers,Street level,Regular,6,0.1644651537015669,0.24553484629843314,401.8024411465822
"Duque, Bustos and Girona",Van,Zona Franca,2022-01-22 19:56:15,9.93,0.89,D84,False,08016,Cafe/Restaurant,Other,Regular,1,0.10899589909420909,0.0010041009057908945,244.23855626064426
Vall LLC,Van,Baró de Viver,2022-04-01 11:40:23,73.02,0.91,D84,False,08024,Cafe/Restaurant,Street level,Regular,13,0.056153954876964736,0.03384604512303523,454.3497162516615
Vall LLC,Van,Baró de Viver,2022-04-26 09:46:08,102.36,0.6,D84,False,08024,Cafe/Restaurant,Street level,Regular,8,0.09790013461333986,0.30209986538666017,539.4273320148897
Vall LLC,Combi,Baró de Viver,2022-03-17 12:32:13,103.92,0.52,D84,False,08024,Cafe/Restaurant,Street level,Regular,8,0.2582655657387574,0.22173443426124256,355.4879443280187
Vall LLC,Van,Baró de Viver,2022-01-29 18:46:31,101.07,0.76,D84,False,08024,Cafe/Restaurant,Street level,Regular,18,0.09552224116260934,0.14447775883739067,762.3383170285725
Vall LLC,Truck,Baró de Viver,2022-01-12 10:33:51,92.87,0.44,D84,False,08024,Cafe/Restaurant,Street level,Regular,15,0.07510314873105024,0.4848968512689498,714.9020200890975
Vall LLC,Van,Baró de Viver,2022-03-16 12:51:58,72.01,0.77,D84,True,08024,Cafe/Restaurant,Street level,Regular,13,0.01332268333743105,0.21667731666256893,614.5582160927001
Vall LLC,Van,Zona Franca,2022-01-20 12:32:33,116.62,0.67,D84,False,08024,Cafe/Restaurant,Street level,Regular,12,0.3299318486014053,6.815139859467356e-05,409.10122902127034
"Roldan, Giménez and Villalonga",Truck,Baró de Viver,2022-03-19 10:14:56,116.35,0.6,D84,False,08022,Cafe/Restaurant,Street level,Regular,10,0.07254457463308031,0.32745542536691974,637.7075841691803
"Herrero, Higueras and Barrena",Van,Zona Franca,2022-04-28 20:00:48,100.15,0.97,D84,False,08031,Cafe/Restaurant,Ground Floor,Key Account,9,0.0044533350625714915,0.025546664937428534,391.03011186430865
"Herrero, Higueras and Barrena",Combi,Baró de Viver,2022-05-12 13:34:02,69.42,0.91,D84,False,08031,Cafe/Restaurant,Ground Floor,Key Account,8,0.0451224867593758,0.04487751324062417,401.3886513123305
"Herrero, Higueras and Barrena",Van,Baró de Viver,2022-05-01 10:56:47,63.55,0.67,D84,False,08031,Cafe/Restaurant,Ground Floor,Key Account,10,0.1946016673189667,0.13539833268103327,797.1800797753256
"Herrero, Higueras and Barrena",Combi,Baró de Viver,2022-04-25 08:52:04,77.55,0.41,D84,False,08031,Cafe/Restaurant,Ground Floor,Key Account,11,0.5103028358777794,0.07969716412222072,609.086190749649
"Herrero, Higueras and Barrena",Combi,Zona Franca,2022-03-16 12:59:50,44.08,0.88,D84,False,08031,Cafe/Restaurant,Ground Floor,Key Account,7,0.0687514875203006,0.0512485124796994,358.33677761153666
"Herrero, Higueras and Barrena",Combi,Zona Franca,2022-05-11 19:34:37,9.78,0.86,D84,False,08031,Cafe/Restaurant,Ground Floor,Key Account,2,0.07500436948850586,0.06499563051149415,229.20139168384023
"Herrero, Higueras and Barrena",Combi,Baró de Viver,2022-05-11 14:03:03,8.76,0.75,D84,False,08031,Cafe/Restaurant,Ground Floor,Key Account,1,0.12063719109153834,0.12936280890846166,160.36704548292673
Palomo Inc,Combi,Zona Franca,2022-05-17 19:00:17,110.01,0.69,D84,False,08034,Cafe/Restaurant,Street level,Regular,9,0.20810393805761357,0.10189606194238648,408.36773640532147
Palomo Inc,Combi,Zona Franca,2022-01-18 10:06:25,107.72,0.79,D84,False,08034,Cafe/Restaurant,Street level,Regular,18,0.06021718115003566,0.1497828188499643,915.7501659198525
Palomo Inc,Combi,Baró de Viver,2022-03-10 17:57:48,30.65,0.72,D84,False,08034,Cafe/Restaurant,Street level,Regular,3,0.087646796134553,0.19235320386544702,229.44437467018082
Palomo Inc,Van,Baró de Viver,2022-03-18 08:20:02,15.64,0.58,D84,False,08034,Cafe/Restaurant,Street level,Regular,2,0.18488059500599247,0.23511940499400757,222.76788005882412
Palomo Inc,Van,Baró de Viver,2022-02-08 10:20:06,33.91,0.44,D84,False,08034,Cafe/Restaurant,Street level,Regular,3,0.45128587450560237,0.10871412549439768,255.67812360890395
"Domínguez, Sancho and Figueroa",Van,Zona Franca,2022-03-26 20:42:01,22.41,0.47,D84,False,08002,Cafe/Restaurant,Street level,Regular,3,0.4416912430704586,0.08830875692954143,180.00410068968154
"Domínguez, Sancho and Figueroa",Combi,Zona Franca,2022-04-23 13:36:10,91.06,0.96,D84,False,08002,Cafe/Restaurant,Street level,Regular,10,0.03028801490657535,0.009711985093424684,395.15817212408297
"Domínguez, Sancho and Figueroa",Combi,Baró de Viver,2022-01-24 14:15:10,109.94,0.93,D84,False,08002,Cafe/Restaurant,Street level,Regular,21,0.050704299210224395,0.019295700789775556,796.1066536663021
"Pacheco, Chacón and Casares",Van,Baró de Viver,2022-03-13 20:50:21,56.47,0.77,D84,False,08003,Cafe/Restaurant,Ground Floor,Regular,8,0.21058249151335434,0.01941750848664564,343.01342882653717
"Pacheco, Chacón and Casares",Truck,Baró de Viver,2022-04-25 15:50:46,100.21,0.69,D84,False,08003,Cafe/Restaurant,Ground Floor,Regular,15,0.29694914336364164,0.01305085663635841,697.1871948033875
"Pacheco, Chacón and Casares",Truck,Baró de Viver,2022-03-09 10:04:13,114.22,0.91,D84,False,08003,Cafe/Restaurant,Ground Floor,Regular,13,0.05273598158322171,0.03726401841677826,896.2153318692522
"Pacheco, Chacón and Casares",Truck,Baró de Viver,2022-02-08 20:50:48,86.85,0.88,D84,False,08003,Cafe/Restaurant,Ground Floor,Regular,12,0.09742103123016829,0.022578968769831703,504.42966447938886
Godoy-Zabaleta,Van,Baró de Viver,2022-01-29 17:04:15,63.95,0.59,D84,False,08003,Hotels,Ground Floor,Regular,8,0.21054638996060893,0.1994536100393911,317.866058801019
Estévez-Moliner,Truck,Baró de Viver,2022-03-15 19:07:24,49.95,0.69,D84,False,08008,Cafe/Restaurant,Street level,Regular,6,0.09847230803087496,0.21152769196912508,371.3389881915071
Estévez-Moliner,Combi,Zona Franca,2022-01-29 17:37:27,60.86,0.7,D84,False,08008,Cafe/Restaurant,Street level,Regular,6,0.2573801857903902,0.04261981420960986,294.01498328459905
Estévez-Moliner,Van,Zona Franca,2022-02-26 10:38:06,89.7,0.41,D84,False,08008,Cafe/Restaurant,Street level,Regular,8,0.5248279975071567,0.06517200249284338,485.11059199153055
Estévez-Moliner,Truck,Zona Franca,2022-01-28 09:10:50,81.31,0.51,D84,False,08008,Cafe/Restaurant,Street level,Regular,10,0.3339178156444442,0.15608218435555576,563.7261454944108
Estévez-Moliner,Truck,Zona Franca,2022-02-05 20:56:48,82.14,0.93,D84,False,08008,Cafe/Restaurant,Street level,Regular,7,0.014882422691357275,0.055117577308642675,215.4634021902074
Estévez-Moliner,Combi,Baró de Viver,2022-01-13 12:33:07,119.54,0.44,D84,False,08008,Cafe/Restaurant,Street level,Regular,9,0.26103512114146704,0.298964878858533,396.46805782449724
Estévez-Moliner,Van,Baró de Viver,2022-05-17 15:47:18,34.03,0.49,D84,False,08008,Cafe/Restaurant,Street level,Regular,4,0.04748706734009924,0.4625129326599008,252.330691419085
Antón LLC,Van,Baró de Viver,2022-03-07 11:50:42,33.21,0.95,D84,False,08029,Hotels,Street level,Regular,3,0.010332556592681867,0.039667443407318176,202.3589253093319
Antón LLC,Van,Zona Franca,2022-01-24 09:03:38,80.65,0.47,D84,False,08029,Hotels,Street level,Regular,16,0.2813355865508618,0.2486644134491382,978.8498430054645
"Gonzalez, Gómez and Milla",Van,Baró de Viver,2022-01-12 11:33:20,115.21,0.4,D84,False,08023,Hotels,Street level,Key Account,12,0.4111029725794603,0.18889702742053965,487.83520616640504
Garay Inc,Truck,Baró de Viver,2022-05-12 13:35:53,10.63,0.59,D84,False,08004,Cafe/Restaurant,Street level,Regular,1,0.2390493840288295,0.17095061597117053,145.38364070562972
Garay Inc,Van,Zona Franca,2022-03-16 19:16:47,68.59,0.98,D84,False,08004,Cafe/Restaurant,Street level,Regular,12,0.014021844504569038,0.00597815549543098,644.2785204243345
Garay Inc,Combi,Zona Franca,2022-02-07 09:39:22,90.49,0.78,D84,False,08004,Cafe/Restaurant,Street level,Regular,7,0.07280523241441995,0.14719476758558003,330.7483811197509
Lasa LLC,Van,Zona Franca,2022-05-12 20:30:45,32.41,0.79,D84,False,08024,Cafe/Restaurant,Street level,Regular,4,0.09339201996689413,0.11660798003310584,174.80169377820718
Lasa LLC,Van,Zona Franca,2022-04-04 18:51:21,67.05,0.65,D84,False,08024,Cafe/Restaurant,Street level,Regular,5,0.03967900748138742,0.31032099251861256,395.26046024575237
Lasa LLC,Truck,Zona Franca,2022-02-21 20:07:02,114.4,0.82,D84,False,08024,Cafe/Restaurant,Street level,Regular,9,0.17161184379227898,0.00838815620772107,402.07302833570526
Lasa LLC,Van,Zona Franca,2022-04-07 14:00:51,77.44,0.92,D84,False,08024,Cafe/Restaurant,Street level,Regular,8,0.07936771880718513,0.000632281192814832,343.93509103711455
Amador Inc,Van,Zona Franca,2022-01-09 14:13:10,78.42,0.65,D84,False,08008,Cafe/Restaurant,Street level,Regular,8,0.09999686275664352,0.25000313724335643,429.58987167954297
Jover-Tormo,Combi,Baró de Viver,2022-01-08 18:04:26,79.71,0.45,D84,False,08075,Cafe/Restaurant,Ground Floor,Regular,8,0.5139778858746875,0.03602211412531253,487.7137000028623
Jover-Tormo,Van,Baró de Viver,2022-04-25 13:49:12,86.17,0.94,D84,True,08075,Cafe/Restaurant,Ground Floor,Regular,8,0.010664808438396454,0.0493351915616036,495.7339646418791
Jover-Tormo,Van,Zona Franca,2022-01-02 15:05:29,109.07,0.51,D84,False,08075,Cafe/Restaurant,Ground Floor,Regular,11,0.2533055532826673,0.2366944467173327,527.823843264954
"Belda, Benavides and Almeida",Van,Baró de Viver,2022-01-05 18:22:33,83.09,0.82,D84,False,08005,Cafe/Restaurant,Other,Regular,9,0.14321043560744648,0.03678956439255357,458.6109191112942
"Belda, Benavides and Almeida",Van,Zona Franca,2022-05-12 10:30:33,12.88,0.67,D84,False,08005,Cafe/Restaurant,Other,Regular,1,0.13470718982854954,0.19529281017145042,285.3907266076885
"Belda, Benavides and Almeida",Truck,Baró de Viver,2022-03-26 09:55:23,11.95,0.78,D84,False,08005,Cafe/Restaurant,Other,Regular,2,0.12652045863083897,0.093479541369161,424.89919621819314
"Belda, Benavides and Almeida",Van,Baró de Viver,2022-02-01 13:11:35,35.18,0.98,D84,True,08005,Cafe/Restaurant,Other,Regular,6,0.008173596814660464,0.011826403185339554,509.04705196340603
"Belda, Benavides and Almeida",Van,Zona Franca,2022-04-14 09:24:17,53.82,0.94,D84,False,08005,Cafe/Restaurant,Other,Regular,9,0.01961167726763705,0.04038832273236301,667.3411433989945
"Belda, Benavides and Almeida",Combi,Baró de Viver,2022-01-31 10:51:09,33.62,0.62,D84,False,08005,Cafe/Restaurant,Other,Regular,3,0.150246137686701,0.229753862313299,353.3533213501499
Bou-Falcón,Combi,Baró de Viver,2022-05-12 09:00:50,111.71,0.72,D84,False,08039,Cafe/Restaurant,Street level,Key Account,14,0.20372908242949303,0.076270917570507,786.9561950004764
Larrea Ltd,Van,Baró de Viver,2022-03-30 14:07:11,82.53,0.77,D84,False,08023,Cafe/Restaurant,Street level,Key Account,9,0.16977297948172268,0.0602270205182773,324.12446758541904
Larrea Ltd,Combi,Zona Franca,2022-04-16 12:31:06,83.46,0.45,D84,False,08023,Cafe/Restaurant,Street level,Key Account,12,0.33782203092210283,0.2121779690778972,418.06869985996536
Larrea Ltd,Van,Baró de Viver,2022-03-12 13:07:24,96.78,0.9,D84,False,08023,Cafe/Restaurant,Street level,Key Account,16,0.040724559891103365,0.05927544010889661,609.5099064242335
Barberá PLC,Van,Baró de Viver,2022-03-14 13:05:06,34.53,0.67,D84,False,08019,Hotels,Street level,Key Account,3,0.016500940648150504,0.31349905935184946,227.680145346106
Barberá PLC,Combi,Zona Franca,2022-01-24 10:55:58,8.53,0.74,D84,False,08019,Hotels,Street level,Key Account,2,0.15833515038203208,0.10166484961796793,223.9261856578778
Jove-Español,Van,Baró de Viver,2022-05-03 10:25:03,68.09,0.84,D84,True,08012,Cafe/Restaurant,Street level,Key Account,5,0.0803521111799035,0.07964788882009653,486.70003497068353
Jove-Español,Combi,Zona Franca,2022-02-10 16:44:38,44.84,0.58,D84,False,08012,Cafe/Restaurant,Street level,Key Account,7,0.33428903513345704,0.085710964866543,241.84395692176705
"Juárez, Segovia and Zurita",Van,Baró de Viver,2022-05-04 08:36:26,18.78,0.96,D84,False,08001,Cafe/Restaurant,Street level,Regular,4,0.0042991286039863125,0.035700871396013724,304.60581088472486
"Juárez, Segovia and Zurita",Truck,Baró de Viver,2022-05-04 09:22:18,53.51,0.86,D84,False,08001,Cafe/Restaurant,Street level,Regular,5,0.0074762712316296465,0.13252372876837037,327.8388335904095
Madrigal-Ferrández,Van,Baró de Viver,2022-01-18 14:06:59,111.36,0.66,D84,False,08005,Cafe/Restaurant,Street level,Key Account,9,0.010291972065453242,0.32970802793454673,405.9636541906697
Madrigal-Ferrández,Combi,Zona Franca,2022-04-10 16:31:19,22.24,0.98,D84,False,08005,Cafe/Restaurant,Street level,Key Account,3,0.002167808621711788,0.01783219137828823,190.97824358265925
Madrigal-Ferrández,Van,Zona Franca,2022-03-01 13:04:20,97.16,0.79,D84,False,08005,Cafe/Restaurant,Street level,Key Account,15,0.16973977180520894,0.040260228194791026,629.9908456784077
Tejero-Gomila,Truck,Baró de Viver,2022-01-07 08:11:11,84.29,0.42,D84,False,08002,Cafe/Restaurant,Street level,Regular,15,0.2639645540546647,0.3160354459453354,659.8648006209884
